cycle, episode_interest 
1,0.739324748516
2,0.765834987164
3,0.769995510578
4,0.770582914352
5,0.770668923855
6,0.770684838295
7,0.770691454411
8,0.770696520805
9,0.770702183247
10,0.770707964897
11,0.77071338892
12,0.770718753338
13,0.770723819733
14,0.770728468895
15,0.770732820034
16,0.770736992359
17,0.770740866661
18,0.770744621754
19,0.770748257637
20,0.770751714706
21,0.770755052567
22,0.653688728809
23,0.671616077423
24,0.674714207649
25,0.675160765648
26,0.675234735012
27,0.675258159637
28,0.675272941589
29,0.675285220146
30,0.675295650959
31,0.675304532051
32,0.71416926384
33,0.739979147911
34,0.743877708912
35,0.744413077831
36,0.744485676289
37,0.74449557066
38,0.744496881962
39,0.744497060776
40,0.744497060776
41,0.744497060776
42,0.78202188015
43,0.812063336372
44,0.816381156445
45,0.81696999073
46,0.81704980135
47,0.817060649395
48,0.817062079906
49,0.817062318325
50,0.817062318325
51,0.81706237793
52,0.771158277988
53,0.800868093967
54,0.805245876312
55,0.805858075619
56,0.805952370167
57,0.805975496769
58,0.805987775326
59,0.805997610092
60,0.806006073952
61,0.806013166904
62,0.76578694582
63,0.794068038464
64,0.798319220543
65,0.798902332783
66,0.798981428146
67,0.798992156982
68,0.798993587494
69,0.798993706703
70,0.798993825912
71,0.798993825912
72,0.773706912994
73,0.802226781845
74,0.806362450123
75,0.806927323341
76,0.807003855705
77,0.807014167309
78,0.807015538216
79,0.80701571703
80,0.807015776634
81,0.807015776634
82,0.702448666096
83,0.725651085377
84,0.729379713535
85,0.729895234108
86,0.729965150356
87,0.729974687099
88,0.729975998402
89,0.729976117611
90,0.729976117611
92,0.733510255814
93,0.760696172714
94,0.764946758747
95,0.765560746193
96,0.765668153763
97,0.76570391655
98,0.765727102757
99,0.765744924545
100,0.765759110451
101,0.765770316124
102,0.670642673969
103,0.68994987011
104,0.693319320679
105,0.693781137466
106,0.693836033344
107,0.693837761879
108,0.693833172321
109,0.693828821182
110,0.693825244904
111,0.693822443485
112,0.620637714863
113,0.632772088051
114,0.635243713856
115,0.635594189167
116,0.635641872883
117,0.635648310184
118,0.63564914465
119,0.635649263859
120,0.635649323463
121,0.635649323463
122,0.658117771149
123,0.675951242447
124,0.678978562355
125,0.679402112961
126,0.679459869862
127,0.679467737675
128,0.679468750954
129,0.679468929768
130,0.679468929768
131,0.679468989372
132,0.701793670654
133,0.725346624851
134,0.729084849358
135,0.729600608349
136,0.729670584202
137,0.72968006134
138,0.729681372643
139,0.729681551456
140,0.729681551456
141,0.729681551456
142,0.696583330631
143,0.71793949604
144,0.721595227718
145,0.722106337547
146,0.722175836563
147,0.722185194492
148,0.722186505795
149,0.722186625004
150,0.722186625004
151,0.722186625004
152,0.702153503895
153,0.726047694683
154,0.729828357697
155,0.730351090431
156,0.730422079563
157,0.730431675911
158,0.730432987213
159,0.730433106422
160,0.730433106422
161,0.730433106422
162,0.687532246113
163,0.710186183453
164,0.714049875736
165,0.714585244656
166,0.714657843113
167,0.714667677879
168,0.714669048786
169,0.714669167995
170,0.7146692276
171,0.7146692276
172,0.670232415199
173,0.689245402813
174,0.692488670349
175,0.692943394184
176,0.693005561829
177,0.693014025688
178,0.693015277386
179,0.693015396595
180,0.693015396595
181,0.693015396595
183,0.768929600716
184,0.799192547798
185,0.803750395775
186,0.804384768009
187,0.804474651814
188,0.804489254951
189,0.804493248463
190,0.804495930672
191,0.804498910904
192,0.712258398533
193,0.737802922726
194,0.741945803165
195,0.742520391941
196,0.742598772049
197,0.742609798908
198,0.742611765862
199,0.742612481117
200,0.742613136768
201,0.742613911629
202,0.643258392811
203,0.660484433174
204,0.663646161556
205,0.664090812206
206,0.664151310921
207,0.664159476757
208,0.664160609245
209,0.664160728455
210,0.664160728455
211,0.664160728455
212,0.656068086624
213,0.673938572407
214,0.676933526993
215,0.677351236343
216,0.67740803957
217,0.677415728569
218,0.677416801453
219,0.677416920662
220,0.677416920662
221,0.677416920662
222,0.701345205307
223,0.725114107132
224,0.728850543499
225,0.729366481304
226,0.729436516762
227,0.729445934296
228,0.729447245598
229,0.729447424412
230,0.729447484016
231,0.729447484016
232,0.716760396957
233,0.741283178329
234,0.745291411877
235,0.745849072933
236,0.745924711227
237,0.745934963226
238,0.745936393738
239,0.745936512947
240,0.745936572552
241,0.745936572552
242,0.73076659441
243,0.757264196873
244,0.761301338673
245,0.761856734753
246,0.761932015419
247,0.761942267418
248,0.761943638325
249,0.761943817139
250,0.761943876743
251,0.761943876743
252,0.697724640369
253,0.720920979977
254,0.724810183048
255,0.725351154804
256,0.725424587727
257,0.725434541702
258,0.725435912609
259,0.725436091423
260,0.725436091423
261,0.725436091423
262,0.68990957737
263,0.711932361126
264,0.715532004833
265,0.716033935547
266,0.716102004051
267,0.716111242771
268,0.716112554073
269,0.716112673283
270,0.716112732887
271,0.716112732887
272,0.701210141182
273,0.724560618401
274,0.728242635727
275,0.728750705719
276,0.728819668293
277,0.728828966618
278,0.72883015871
279,0.728830397129
280,0.728830456734
281,0.728830456734
282,0.687146902084
283,0.709890246391
284,0.71361631155
285,0.714134514332
286,0.714204788208
287,0.714214265347
288,0.714215636253
289,0.714215815067
290,0.714215815067
291,0.714215815067
292,0.698901712894
293,0.725986659527
294,0.730281352997
295,0.730875432491
296,0.730956017971
297,0.730966985226
298,0.730968475342
299,0.730968654156
300,0.73096871376
301,0.73096871376
302,0.695190012455
303,0.721396565437
304,0.725554943085
305,0.726128518581
306,0.726206362247
307,0.72621691227
308,0.726218402386
309,0.726218521595
310,0.7262185812
311,0.7262185812
312,0.696477293968
313,0.720981299877
314,0.724977850914
315,0.725531339645
316,0.725606501102
317,0.725616633892
318,0.725618004799
319,0.725618183613
320,0.725618183613
321,0.725618183613
322,0.712250769138
323,0.734685480595
324,0.738211989403
325,0.73869997263
326,0.73876619339
327,0.738775074482
328,0.738776385784
329,0.738776504993
330,0.738776504993
331,0.738776504993
332,0.713675796986
333,0.736495733261
334,0.740117430687
335,0.740618824959
336,0.740686833858
337,0.740696072578
338,0.740697324276
339,0.74069750309
340,0.74069750309
341,0.74069750309
342,0.700707793236
343,0.722918152809
344,0.726471722126
345,0.726964175701
346,0.727030992508
347,0.727039992809
348,0.727041244507
349,0.727041423321
350,0.72704154253
351,0.72704154253
352,0.671318292618
353,0.692425131798
355,0.877112984657
356,0.901888072491
357,0.905339002609
358,0.905838310719
359,0.905933320522
360,0.905968248844
361,0.905990540981
362,0.844493091106
363,0.870024561882
364,0.873724043369
365,0.874228239059
366,0.874296545982
367,0.874305844307
368,0.8743070364
369,0.874307215214
370,0.874307215214
371,0.874307334423
372,0.769882559776
373,0.793493509293
374,0.797223031521
375,0.797737002373
376,0.797806859016
377,0.79781627655
378,0.797817528248
379,0.797817707062
380,0.797817707062
381,0.797817707062
382,0.696388423443
383,0.717177808285
384,0.720587313175
385,0.721059679985
386,0.721123874187
387,0.721132516861
388,0.721133708954
389,0.721133828163
390,0.721133828163
391,0.721133828163
392,0.69627982378
393,0.722489833832
394,0.726707398891
395,0.72729074955
396,0.727369844913
397,0.72738057375
398,0.727382004261
